ID,Sual,A,B,C,D,E,correct
381,381. Yagda həll olan vitamini göstərin?,B12,C,B1,B6,D,E
382,382. Yağda həll olan vitamini göstərin:,B6,C,B1,A,B12,D
383,383. Adrenalin hansı maddənin parçalanmasını sürətləndirir:,yağların,sellülozanın,qlikogenin,nukleotidlərin,sadə zülalların,C
384,384. Ödün rolu:,yağlar üçün emulqator vəzifəsini daşıyır,vitamindir,hormondur,heç bir rolu yoxdur,zülaldır,A
385,385. Yağların qələvinin iştirakı ilə reaksiyası necə adlanır?,polimerləşmə reaksiyası,polikondensasiya,parçalanma reaksiyası,oksidləşmə reaksiyası,sabunlaşma reaksiyası,E
386,386. Bərk sabun necə alınır:,Mg(OH)2 -dən istifadə etdikdə,KOH - dən istifadə etdikdə,Ca(OH)2 -dən istifadə etdikdə,NaOH -dən istifadə etdikdə,Cu(OH)2 -dən istifadə etdikdə,D
387,387. Maye sabun necə alınır:,NaOH -dən istifadə etdikdə,KOH - dən istifadə etdikdə,Ca(OH)2 -dən istifadə etdikdə,Mg(OH)2 -dən istifadə etdikdə,Cu(OH)2 -dən istifadə etdikdə,B
388,388. Yağların qaxsıması zamanı nə baş verir?,sidik cövhəri əmələ gəlir,qlükoza əmələ gəlir,qliserin və yağ turşuları əmələ gəlir,hər biri,spirt əmələ gəlir,C
389,389. Mumlar nədir?,heç biri,vitamindir,zülaldır,iri molekullu yağlar turşuları ilə biratomlu spritlərin mürəkkəb efirlərdir,qliserindir,D
390,390. Uşaqlarda ən çox rast gəlinən xəstəliklərdən hansılardır?,qastrit,hiporpokiya,raxit,skorbut,sinqa,C
391,391. Beri-beri xəstəliyi hansı vitaminin çatışmazlığı zamanı baş verir ?,D vitamini,C vitamini,A vitamini,B1 vitamini,PP vitamini,D
392,392. Retinol hansı vitamindir?,B12,A,B6,D,,B
393,393. Karotinlər hansı vitaminin sələfləridir?,E,B12,B6,D,A,E
394,394. Hormonlar hansı funksiyanı yerinə yetirir?,müdafiə,katalitik,tənzimlıyici,nəqliyat,energetik,C
395,395. Qlikogenin qlükozadan sintezini hansı hormon gücləndirir?,adrenalin,insulin,qlükaqon,testesteron,tiroksin,B
396,396. Əzələlərdə qlikogeni parçalayan hormon hansıdır?,testesteron,insulin,Melotonin,adrenalin,tiroksin,D
397,397. Hansı hormon zülal təbiətlidir?,adrenalin,insulin,qlükaqon,testesteron,tiroksin,B
398,398. Hansı hormon zülalların sintezini gücləndirir?,tiroksin,adrenalin,qlükaqon,testesteron,somatotropin,E
399,399. Qlükaqon hormonu hansı maddənin parçalanmasını stimullaşdırır?,yağların,zülalın,qlikogenin,qlükozanın,saxarozanın,C
400,400. Mədəaltı vəzidə sintez olunan hormon:,adrenalin,insulin,qlükaqon,testesteron,tiroksin,B
401,401. Steroid təbiətli hormonu göstərin:,testesteron,insulin,qlükaqon,kortizol,tiroksin,D
402,402. Qaraciyərdə qlikogeni parçalayan hormon?,tiroksin,insulin,kortizol,testesteron,qlükaqon,E
